hashtag,sentiment,university_name,published_at,likes,reply_count
#justicefornepalistudent,Positive,KIIT University,2025-02-19 06:20:58+00:00,0,0
#justiceforprtikilamsal,Positive,KIIT University,2025-02-19 06:20:58+00:00,0,0
#justiceforstudent,Positive,KIIT University,2025-02-19 06:20:58+00:00,0,0
#rip_kiit,Neutral,KIIT University,2025-02-19 06:20:19+00:00,0,0
#investigate_kiit,Positive,KIIT University,2025-02-19 06:06:05+00:00,2,0
#justiceforvictims,Positive,KIIT University,2025-02-19 06:02:35+00:00,0,0
#annfsu,Positive,KIIT University,2025-02-19 06:02:35+00:00,0,0
#justice_for_prakriti,Positive,KIIT University,2025-02-19 05:19:44+00:00,1,0
#shame,Neutral,KIIT University,2025-02-19 05:09:13+00:00,0,0
#justicefornepaligirl,Neutral,KIIT University,2025-02-19 04:58:26+00:00,0,0
#justice4prakritilamsal,Neutral,KIIT University,2025-02-19 04:56:06+00:00,1,0
#respectsovereignty,Neutral,KIIT University,2025-02-19 04:56:06+00:00,1,0
#nepalilivesmatter,Neutral,KIIT University,2025-02-19 04:56:06+00:00,1,0
#enddiscriminationnow,Neutral,KIIT University,2025-02-19 04:56:06+00:00,1,0
#jainepal,Negative,KIIT University,2025-02-20 05:09:25+00:00,0,0
#shame,Neutral,KIIT University,2025-02-19 04:49:45+00:00,0,0
#justiceforprakitilamsal,Neutral,KIIT University,2025-02-19 04:40:31+00:00,0,0
#prakriti,Positive,KIIT University,2025-02-19 04:34:47+00:00,0,0
#indianforeignerstudentmurderercampuskiit,Negative,KIIT University,2025-02-19 04:32:20+00:00,2,0
#prakriti,Positive,KIIT University,2025-02-19 04:29:35+00:00,0,0
#nosafeindia,Neutral,KIIT University,2025-02-19 04:25:32+00:00,0,0
#needjustice,Positive,KIIT University,2025-02-19 04:06:11+00:00,0,0
#justiceforprakirti,Positive,KIIT University,2025-02-19 04:06:11+00:00,0,0
#indiachhoro,Positive,KIIT University,2025-02-19 04:05:23+00:00,0,0
#justiceforprakitilamsal,Negative,KIIT University,2025-02-19 04:02:26+00:00,1,0
#justice_for_prakriti,Positive,KIIT University,2025-02-19 03:52:59+00:00,0,0
#rip_kiit,Neutral,KIIT University,2025-02-19 03:43:58+00:00,0,0
#double,Neutral,KIIT University,2025-02-19 03:27:35+00:00,0,0
#nepali_sister,Positive,KIIT University,2025-02-19 03:26:48+00:00,0,0
#thedeshbhant,Positive,KIIT University,2025-02-19 03:25:35+00:00,2,0
#lovefromnepal,Positive,KIIT University,2025-02-19 03:12:45+00:00,2,0
#unsafe,Neutral,KIIT University,2025-02-19 02:55:47+00:00,0,0
#modi,Neutral,KIIT University,2025-02-19 02:55:47+00:00,0,0
#dr,Neutral,KIIT University,2025-02-19 02:55:47+00:00,0,0
#shameonachyutsamanta,Neutral,KIIT University,2025-02-19 02:41:18+00:00,0,0
#shamekiit,Positive,KIIT University,2025-02-19 02:39:41+00:00,0,0
#rip_manju_shah,Neutral,KIIT University,2025-02-19 02:37:04+00:00,0,0
#take_strict_action_against_staff_of_kiit,Positive,KIIT University,2025-02-19 02:31:34+00:00,0,0
#thedeshbhakt,Negative,KIIT University,2025-02-19 02:22:48+00:00,0,0
#justicefornepalisister,Neutral,KIIT University,2025-02-19 02:22:16+00:00,0,0
#blacklist,Neutral,KIIT University,2025-02-19 02:04:28+00:00,0,0
#justicefornepaligirl,Positive,KIIT University,2025-02-19 01:55:06+00:00,0,0
#justiceforprakirti,Neutral,KIIT University,2025-02-19 01:54:13+00:00,0,0
#justicefornepaligirl,Neutral,KIIT University,2025-02-19 01:52:29+00:00,0,0
#bishogrue_india,Neutral,KIIT University,2025-02-19 01:50:09+00:00,0,0
#rest_in_peace_prakriti,Positive,KIIT University,2025-02-19 01:37:13+00:00,0,0
#justice_should_not_be_delayed,Positive,KIIT University,2025-02-19 01:37:13+00:00,0,0
#rgkarrapemurder,Negative,KIIT University,2025-02-19 01:28:57+00:00,0,0
#lovesfromnepal,Positive,KIIT University,2025-02-19 01:15:13+00:00,5,0
#justice_for_prakriti,Positive,KIIT University,2025-02-19 00:16:56+00:00,0,0
#justiceforprakiti,Neutral,KIIT University,2025-02-19 00:02:37+00:00,0,0
#bhagwa_love_trap,Neutral,KIIT University,2025-02-18 20:52:30+00:00,0,0
#shameonindianeducationsystem,Neutral,KIIT University,2025-02-18 19:48:32+00:00,1,0
#ashamedasindian,Neutral,KIIT University,2025-02-18 19:48:32+00:00,1,0
#suspend,Neutral,KIIT University,2025-02-18 19:40:23+00:00,0,0
