Source,Target,Weight
aapke,career,16
idea,final,16
idea,samanya,16
query,related,16
better,deserves,16
final,decision,16
aate,various,16
pehle,lene,16
pradesh,uttar,16
detailed,website,16
lab,classroom,16
exposure,isse,16
aate,isse,15
question,come,15
saath,equipped,15
technology,upgrad,15
offered,provide,15
postgraduate,offer,15
sppu,chemistry,15
tell,punjab,15
fee,admission,15
guidance,support,15
infrastructure,madad,15
process,taking,15
participate,alawa,15
addmission,taking,15
admission,hostel,15
rha,show,15
understanding,badhta,15
chance,milne,15
cse,core,15
chahiye,dena,15
top,india,15
consider,iske,15
admission,got,15
sppu,addmission,15
year,cutoff,15
first,round,15
bihar,muzaffarpur,15
science,commerce,15
website,iske,15
available,aapke,15
kerala,story,15
tell,chemistry,15
exposure,understanding,15
contact,number,14
hota,placement,14
question,fill,14
preference,help,14
admission,isme,14
kitna,ban,14
hostel,get,14
bit,durg,14
detail,personalized,14
hoti,padhai,14
important,jaata,14
answer,upcoming,14
fee,payment,14
try,include,14
hindu,banaras,14
answer,include,14
में,बारे,14
bata,sakte,14
delhi,prasiddh,14
want,join,14
नीतीश,कुमार,14
mahavidyalaya,prasiddh,14
guidance,member,14
based,score,14
send,simply,14
application,status,14
question,informed,14
branch,core,14
samay,carefully,13
art,mahavidyalaya,13
facility,modern,13
get,mark,13
spot,round,13
tamil,nadu,13
effort,jisse,13
admission,chahiye,13
apne,achieve,13
development,society,13
hostel,girl,13
apni,offer,13
hota,exam,13
apne,jisse,13
field,graduate,13
गया,दिया,13
fee,year,13
instagram,simplified,13
certificate,provisional,13
category,mark,13
bjp,jdu,13
admission,want,13
guidance,personalized,13
placement,better,13
samay,sakein,13
rha,soch,13
cse,good,13
achieve,sakein,13
csas,portal,13
admit,card,13
science,field,13
internship,effort,13
cse,kaisa,13
development,promote,13
team,pinch,13
placement,badhta,13
govt,job,12
admission,exam,12
choice,filling,12
hindi,english,12
savitribai,phule,12
fee,lakh,12
admission,form,12
apni,excellence,12
placement,data,12
top,iits,12
class,middle,12
work,hard,12
scholarship,percent,12
government,job,12
science,art,12
package,highest,12
shiksha,remember,12
andhra,pradesh,12
bta,skte,12
wrong,information,12
number,application,12
whatsapp,call,12
question,ask,12
admission,start,12
rha,dikh,12
based,personalized,12
registration,portal,12
category,score,12
civil,mechanical,12
branch,lower,12
name,list,12
hostel,facility,12
cse,better,12
pas,time,12
raise,voice,12
laughing,corner,12
iet,davv,12
pune,coep,11
new,age,11
fee,pay,11
got,mark,11
placement,opportunity,11
pathi,podunga,11
kitna,package,11
pata,chala,11
lucknow,iet,11
central,jharkhand,11
know,people,11
classroom,recreational,11
भीमराव,अंबेडकर,11
ज्यादा,सबसे,11
year,exam,11
admission,llb,11
year,hostel,11
subject,domain,11
eng,gat,11
get,possible,11
बहुत,धन्यवाद,11
year,cse,11
facility,saath,11
jayega,agriculture,11
cse,mmmut,11
list,naam,11
vice,chancellor,11
cse,vellore,11
jaise,library,11
jaise,equipped,11
yahi,hal,11
easily,aaspaas,11
detail,basic,11
exam,date,11
cse,want,11
form,maine,11
community,various,11
bura,haal,11
doubt,clear,11
admission,skta,11
personalized,list,11
obc,jayega,11
ece,branch,11
hota,ragging,11
यूनिवर्सिटी,बिहार,11
dijiye,bna,11
marksheet,duplicate,11
aditya,nitian,11
यूनिवर्सिटी,मुजफ्फरपुर,11
mbm,jodhpur,11
chance,getting,11
fill,basic,11
kitna,score,11
area,recreational,11
offer,letter,11
